"","x"
"1277","PLAC8"
"1278","PLAT"
"1279","PLAU"
"1280","PLBD1"
"1281","PLCB2"
"1282","PLCB4"
"1283","PLCH1"
"1284","PLEK2"
"1285","PLEKHA1"
"1286","PLEKHA2"
"1287","PLEKHF2"
"1288","PLEKHG5"
"1289","PLIN1"
"1290","PLIN3"
"1291","PLIN4"
"1292","PLIN5"
"1293","PLOD1"
"1294","PLOD2"
"1295","PLOD3"
"1296","PLS1"
"1297","PLS3"
"1298","PLSCR1"
"1299","PLVAP"
"1300","PLXND1"
"1301","PMM2"
"1302","PNCK"
"1303","PNLIPRP2"
"1304","PNMA2"
"1305","PNMT"
"1306","PNP"
"1307","PNPLA3"
"1308","POLI"
"1309","POLR3D"
"1310","POU2AF1"
"1311","POU2F1"
"1312","PPARA"
"1313","PPARG"
"1314","PPFIA4"
"1315","PPIL3"
"1316","PPP1CB"
"1317","PPP1R14A"
"1318","PPP1R14D"
"1319","PPP1R15A"
"1320","PPP1R1B"
"1321","PPP1R3B"
"1322","PPP1R3G"
"1323","PPP2R2A"
"1324","PPP2R5C"
"1325","PRAP1"
"1326","PRCD"
"1327","PRDM16"
"1328","PRDX5"
"1329","PRDX6"
"1330","PRELID2"
"1331","PREP"
"1332","PRKAB2"
"1333","PRKCA"
"1334","PRKCG"
"1335","PRKCI"
"1336","PRL"
"1337","PRLR"
"1338","PROCR"
"1339","PRODH"
"1340","PROM2"
"1341","PROSER2"
"1342","PRPSAP2"
"1343","PRR13"
"1344","PRRC1"
"1345","PRSS16"
"1346","PRSS8"
"1347","PRTG"
"1348","PSMD10P2"
"1349","PSTPIP2"
"1350","PTAFR"
"1351","PTBP3"
"1352","PTEN"
"1353","PTGER3"
"1354","PTGES3L"
"1355","PTGES3L-AARSD1"
"1356","PTGR2"
"1357","PTGS2"
"1358","PTH1R"
"1359","PTK2"
"1360","PTMA"
"1361","PTP4A3"
"1362","PTPDC1"
"1363","PTPN12"
"1364","PTPRB"
"1365","PTPRF"
"1366","PTPRH"
"1367","PTPRK"
"1368","PTPRR"
"1369","PTTG1IP"
"1370","PVR"
"1371","PWWP2A"
"1372","PXN"
"1373","PYGL"
"1374","PYROXD2"
