 ,Label,Area,Mean,Min,Max,Median
456,160929_16_R3D_xx_523_xx_t021.tif,452950,63.046881554,50,80,64
457,160929_04_R3D_xx_523_xx_t045.tif,354080,62.844103028,50,82,64
458,160929_06_R3D_xx_523_xx_t079.tif,152478,59.795662325,50,83,60
459,160929_29_R3D_xx_523_xx_t075.tif,361994,64.146085294,50,82,66
460,160929_10_R3D_xx_523_xx_t086.tif,60749,52.055046174,50,62,52
461,160929_31_R3D_xx_523_xx_t116.tif,0,NaN,255,10,255
462,160929_22_R3D_xx_523_xx_t042.tif,616442,67.284260320,50,82,69
463,160929_22_R3D_xx_523_xx_t015.tif,572107,63.463096938,50,77,64
464,160929_07_R3D_xx_523_xx_t011.tif,121220,60.457622505,50,77,61
465,160929_06_R3D_xx_523_xx_t069.tif,157604,59.090575112,50,83,59
466,160929_24_R3D_xx_523_xx_t097.tif,649393,63.960185897,50,79,65
467,160929_11_R3D_xx_523_xx_t021.tif,188334,60.689939151,50,78,62
468,160929_05_R3D_xx_523_xx_t037.tif,329826,58.508474165,50,79,57
469,160929_10_R3D_xx_523_xx_t002.tif,205641,63.190764488,50,80,64
470,160929_28_R3D_xx_523_xx_t068.tif,320630,62.055132084,50,81,62
471,160929_23_R3D_xx_523_xx_t018.tif,588739,64.490883057,50,79,66
472,160929_30_R3D_xx_523_xx_t127.tif,296128,61.484503323,50,81,62
473,160929_24_R3D_xx_523_xx_t123.tif,631517,63.109024777,50,76,64
474,160929_06_R3D_xx_523_xx_t072.tif,155809,59.196272359,50,82,59
475,160929_10_R3D_xx_523_xx_t019.tif,183865,57.406798466,50,70,58
476,160929_06_R3D_xx_523_xx_t009.tif,163490,55.769521072,50,70,56
477,160929_28_R3D_xx_523_xx_t002.tif,265276,59.228294305,50,78,59
478,160929_24_R3D_xx_523_xx_t085.tif,657917,64.372049970,50,78,66
479,160929_11_R3D_xx_523_xx_t053.tif,178706,62.828041588,50,79,64
480,160929_07_R3D_xx_523_xx_t018.tif,128664,61.248748679,50,80,62
481,160929_20_R3D_xx_523_xx_t122.tif,359672,60.795257902,50,73,62
482,160929_06_R3D_xx_523_xx_t012.tif,164888,55.920946339,50,69,56
483,160929_13_R3D_xx_523_xx_t124.tif,250220,57.983522500,50,71,59
484,160929_25_R3D_xx_523_xx_t092.tif,429527,56.799656366,50,71,57
485,160929_27_R3D_xx_523_xx_t066.tif,560127,61.498088826,50,82,62
486,160929_04_R3D_xx_523_xx_t030.tif,357357,61.501814712,50,79,63
487,160929_27_R3D_xx_523_xx_t098.tif,500247,60.872534968,50,79,61
488,160929_11_R3D_xx_523_xx_t039.tif,181931,61.932177584,50,78,63
489,160929_19_R3D_xx_523_xx_t077.tif,502432,65.889889577,50,82,67
490,160929_07_R3D_xx_523_xx_t123.tif,86169,60.408197844,50,77,61
491,160929_17_R3D_xx_523_xx_t057.tif,466279,63.672346385,50,80,64
492,160929_11_R3D_xx_523_xx_t082.tif,164731,60.390485094,50,75,61
493,160929_31_R3D_xx_523_xx_t112.tif,0,NaN,255,10,255
494,160929_01_R3D_xx_523_xx_t023.tif,59737,53.677770896,50,68,53
495,160929_03_R3D_xx_523_xx_t138.tif,26029,52.817857006,50,62,53
496,160929_27_R3D_xx_523_xx_t106.tif,465618,59.526846041,50,76,60
497,160929_14_R3D_xx_523_xx_t034.tif,369318,61.580153147,50,78,62
498,160929_17_R3D_xx_523_xx_t131.tif,262875,53.405580599,50,64,53
499,160929_24_R3D_xx_523_xx_t092.tif,660025,65.182887012,50,81,66
500,160929_18_R3D_xx_523_xx_t030.tif,549239,63.011612431,50,79,63
501,160929_21_R3D_xx_523_xx_t047.tif,551187,69.623434515,50,84,71
502,160929_28_R3D_xx_523_xx_t076.tif,319157,62.087082533,50,80,62
503,160929_04_R3D_xx_523_xx_t040.tif,357361,62.313055985,50,79,63
504,160929_19_R3D_xx_523_xx_t020.tif,464215,62.912191549,50,77,63
505,160929_21_R3D_xx_523_xx_t133.tif,508321,59.717432489,50,70,60
506,160929_22_R3D_xx_523_xx_t077.tif,616344,64.882052880,50,80,66
507,160929_15_R3D_xx_523_xx_t056.tif,83890,65.094957683,50,82,67
508,160929_23_R3D_xx_523_xx_t003.tif,577768,65.194389444,50,79,67
509,160929_15_R3D_xx_523_xx_t003.tif,72349,67.157832175,50,84,69
510,160929_06_R3D_xx_523_xx_t026.tif,173678,57.083493592,50,71,57
